,번호,부스번호,주 전시품목,홈페이지,회사명
0,174,,,aprmedia.pl,APR ltd
1,173,,,https://www.cyberlink.com,CyberLink Corp.
2,172,,,www.jk-bic.jp,JAPAN-KOREA INDUSTRIAL TECHNOLOGY CO-OPERATION FOUNDATION
3,171,,,WWW.SPIRENT.COM,SPIRENT COMMUNICATIONS
4,170,,,https://start-up.house/,Startup Development House
5,169,,"모바일 ,IoT, 스마트홈, 스마트카, VR(가상현실), AR(증강현실), 핀테크, NFC, 드론, 로봇, 빅데이터, 클라우드, 스마트콘텐츠, 3D프린팅 등",www.koreaict.kr,(사)한국정보통신기술산업협회
6,168,,상부위장관 캡슐내시경,www.gkf.kr,(재)기가코리아사업단
7,167,,키보드 보안 솔루션,www.yhdatabase.com/,(주) 와이에이치데이타베이스
8,166,,유프리즘아이오 미팅스,www.uprism.com,(주) 유프리즘
9,165,,e100 [ PAS 타입 전기자전거 ],www.jdw.co.kr,(주) 제이디자인웍스
10,164,,딥러닝 기반 지능형 유해조수 퇴치 장치,,(주)광진기업
11,163,,디디박스,newkoad.com/,(주)뉴코애드윈드
12,162,,다비오 맵스,www.dabeeo.com,(주)다비오
13,161,,다이나믹 라이브 솔루션,www.dynamicmedia.co.kr,(주)다이나믹미디어
14,160,,"LAIKIT, 스마트폰 홀더& 거치대",www.dazzl.co.kr,(주)다즐
15,159,,스튜디오 박스,www.comsmart.co.kr,(주)라이트컴
16,158,,핑퐁 로봇,www.roborisen.com,(주)로보라이즌
17,157,,튠메이드,www.tune-made.com,(주)미디어캐스트
18,156,,브이후프,www.vhoop.net,(주)버핏
19,155,,케이블 고장점 측정기,www.becscorp.co.kr,(주)벡스
20,154,,UNiDID,www.sjnetwork.co.kr,(주)서진네트웍스
21,153,,키퍼스,www.i-suntech.com,(주)선테크
22,152,,프리미엄 블랙박스 차눈,www.camsolution.co.kr,(주)세미솔루션
23,151,,전자칠판,www.cvtelectronics.co.kr,(주)씨브이티일렉트로닉스코리아
24,150,,미정,www.e-ctk.com,(주)씨티케이
25,149,,2-벨트 재활보행용 워킹머신(의료용),,(주)아이에스티
